,Sigma,Mu,Div
ABUS,0.879562465050051,-0.00025596537026233596,0.0
ACA,0.43983755913949657,0.0005966431240620263,0.35
ACAD,0.8365683390252705,0.00018488970033743557,0.0
ACB,0.9890950968560472,-0.0009642928512075384,0.0
ACCD,2.685362553322984,0.004207425133439596,0.0
ACCO,0.6056493383863155,-0.00034124875284027444,5.84
ACDC,0.6139507182149693,0.002077859869150755,0.0
ACEL,0.41070556939051733,-0.0001790364521532226,0.0
ACER,1.5484872981467368,-0.0018453995608531735,0.0
ACES,0.36824756561062694,0.0005205042800666798,1.08
ACET,1.2467026072750969,-0.0020801806019077325,0.0
ACGL,0.2922863725686953,0.00047737256875339675,0.0
ACHC,0.7591235429175998,0.00016982092277082698,0.0
ACHHY,0.5312436128139246,0.00015306305655206432,1.04
ACHR,0.7332505121515277,-0.0032752293098640937,0.0
ACHV,0.9946759113245303,-0.0016956199645031865,0.0
ACI,0.43504003786926304,0.00046517409283910826,2.44
ACIU,0.8703088038762257,-0.001291609563791021,0.0
ACIW,0.5144801871266368,0.0002914789631877236,0.0
ACLS,0.7358139405856812,-3.3200027832576244e-05,0.0
ACLX,0.932757620477209,0.0026958721551386348,0.0
ACM,0.3756442825678757,0.0003535299144006163,0.85
ACMR,0.8654742599630586,0.0010927301137181491,0.0
ACN,0.30172889193721797,0.0005312820855526455,1.77
ACNT,0.5322631577122663,7.74021231745542e-05,0.0
ACOR,0.8429077149722172,-0.0009311250070805544,0.0
ACR,0.6209471979653381,-0.000708166282125226,0.0
ACRE,0.41484135357372903,-0.0002043724818676704,13.65
ACRS,0.8851418717852907,0.00019700608807534024,0.0
ACRX,0.8541376792981265,-0.0012355381803585597,0.0
ACT,0.3191797123280104,0.0005018598633005527,2.54
ACTG,0.6001441822206308,0.00016298850441577866,0.0
ACVA,0.6545474429611546,-0.002990305252956754,0.0
ACWI,0.21401650472570177,0.00014183951689888616,1.74
ACWV,0.12686399443285618,0.0002140020027861693,2.22
ACWX,0.22977218691953452,-3.2610321751977554e-05,2.59
ACXP,0.7812944707461181,-0.0017913986749924758,0.0
ADAP,0.924447242996964,-0.0012417802180453687,0.0
ADBE,0.4735877982590819,0.0006715325021911063,0.0
ADC,0.3248698538050423,0.00017862484630609847,4.2
ADCT,0.699523741117536,-0.0031100227494920765,0.0
ADEA,0.531134914028116,0.00014900359615374893,2.36
ADES,0.6938635384614275,-0.00011351156022719327,0.0
ADI,0.44428963445585773,0.0005565846429360805,1.84
ADIL,1.185499509687289,-0.00261241674104202,0.0
ADM,0.3007284255667385,0.0002870385063457144,2.28
ADMA,0.6829028400602806,-0.0003409996211163462,0.0
ADMP,1.2760977225513472,-0.0012425273201431969,0.0
ADN,0.9254168444847558,-0.0016895947320587654,0.0
ADNT,0.6705950902884267,-0.00022566345298707984,0.0
ADP,0.25233654747796325,0.00046640010459002876,2.34
ADPT,0.7691923169233701,-0.0018790439144840865,0.0
ADSK,0.4541565499938269,0.00043477804902814046,0.0
ADT,0.5337745541596333,-0.0002503350665091441,1.97
ADTN,0.4896308196154481,0.00016716381002552573,2.32
ADTX,1.5387123423591205,-0.008540870316203686,0.0
ADUS,0.4733984633881975,0.0007422099341873324,0.0
ADV,0.46307183567238924,-0.0021317058442835747,0.0
ADVM,0.8897627888919537,-0.0018285728771539726,0.0
AEE,0.21850373281395782,0.00011620142328797992,3.01
AEG,0.4136003455397892,6.761966744059416e-05,4.76
AEHR,0.8339028839443675,4.846175246755271e-05,0.0
AEIS,0.6198990482520939,0.0003148550793823699,0.41
AEL,0.4686671535786745,0.0003369259351500564,1.07
AEM,0.5011547924197173,0.00022141426802182334,3.34
AEMD,1.3212163418019667,-0.001673020683938975,0.0
AEO,0.5513016109246581,0.00038090995769877973,3.13
AEP,0.22577721741343995,0.0001266613087336079,3.68
AER,0.5210194901646943,0.00022929986662269548,0.0
AES,0.49487240559735923,0.00027360486300861904,2.86
AEVA,0.7285666470273872,-0.0027614878432991063,0.0
AEYE,1.3300058938720392,-0.0008159719962685571,0.0
AEZS,0.9834094179532431,-0.0018996197958767633,0.0
AFCG,0.35194736169590407,-0.0008442767288006177,18.21
AFG,0.3114118235006345,0.00024106950863162055,2.1
AFIB,1.124333691880627,-0.005185756712973665,0.0
AFK,0.23620222662743098,-0.00025993665726695977,3.7
AFL,0.35027755323998866,0.0004948958822696585,2.66
AFMD,0.9154868179154926,-0.0007298348105599904,0.0
AFRM,1.1266138713196143,-0.00464467621338978,0.0
AFTY,0.29169523109368944,-5.487301441800719e-05,2.05
AFYA,0.5762593099392095,-0.00048623262743563753,0.0
AG,0.6627311789834655,0.00018767571779698252,0.31
AGCO,0.4536724625913301,0.0004385565212315532,0.75
AGEN,0.7942368724035107,-0.000824570761342851,0.0
AGFS,0.6873565006194061,-0.0005785065472873037,0.0
AGFY,1.7890973026379282,-0.012261741301503787,0.0
AGG,0.05187770979778556,-1.0732305342719276e-05,2.52
AGGY,0.05261133539131116,-8.343634326422854e-05,2.95
AGI,0.5991312749666395,0.0005227149782516174,0.93
AGIO,0.651060506728036,-4.5402339582708466e-05,0.0
AGL,0.5957329536284139,-0.0015108485635634827,0.0
AGLE,0.9649455836758912,-0.0018147548559064991,0.0
AGM,0.586424346874057,0.0005726938474076318,3.41
AGNC,0.280581784397875,-0.00016989027494478232,14.04
AGNG,0.18743079476136315,0.0003178567003171147,0.49
AGO,0.5079088346083558,0.00026375077155330615,2.15
AGQ,0.604635651342718,-9.999203282280052e-05,0.0
AGR,0.24516236951177123,9.818643793690606e-05,4.51
AGRI,1.29133268126721,-0.0037593857151497715,0.0
AGRO,0.37352811345650894,-0.00012324448025403595,4.07
AGS,0.9085041853232583,-0.0010382999283267502,0.0
AGTI,0.526482261526569,-1.2917670612827988e-05,0.0
AGX,0.9441644947935008,0.0007341803062275421,2.44
AGYS,0.5452393858911568,0.00042385382536648704,0.0
AGZ,0.03557095609857692,1.0245818617744862e-05,1.86
AHCO,0.5007555486487443,0.0005920567116628778,0.0
AHH,0.3360512341192499,-2.852851928897259e-06,6.29
AHOY,0.23028021955537997,-0.0005507161972806262,0.43
AHT,0.7582500994440187,-0.0009930151151734908,0.0
AI,0.8341176935770224,-0.0040773745610901795,0.0
AIA,0.2687584359713394,4.337260530086081e-05,2.04
AIEQ,0.24781151853619554,9.25924258113096e-05,0.11
AIG,0.5039437755681789,-0.00012435573530561643,2.5
AIMC,0.4892205923869139,0.00035437433776054796,0.58
AIN,0.36018593473866034,0.00020321791169373434,1.09
AIP,0.8819184030570901,-0.004874346516709592,0.0
AIQ,0.2727709338891764,0.0002491609369933148,0.5
AIR,0.46341094324021287,7.53408706259562e-05,0.0
AIRC,0.2468611587403955,-0.0001961724261655976,5.01
AIRG,0.6235365825606102,-0.00012825267598062182,0.0
AIRR,0.25416786912030404,0.0003635882155933552,0.12
AIRS,0.8838316175840155,-0.004956997175568608,0.0
AIT,0.3384171254505121,0.00037494430321071613,1.02
AIV,0.3597111612408998,0.00014802878752721719,0.0
AIVL,0.20394417756981378,0.00014543500317863524,2.14
AIZ,0.327181203947672,0.0003408258726823083,2.47
AJG,0.25161443918065307,0.00041096692596384615,1.2
AJRD,0.43452546029416167,0.00025958400250594796,0.0
AJX,0.45949580994627176,-0.0003316813814257442,14.6
AKA,0.9775602482660761,-0.006425444499368723,0.0
AKAM,0.6394310209296837,-9.324941840851831e-05,0.0
AKBA,0.9390873220549143,-0.0017334490257592658,0.0
AKLI,0.9337188241796727,-0.005805267307412064,0.0
AKR,0.316332361040444,-4.200379644164563e-05,5.24
AKRO,0.8984766550347508,0.0012311200420716858,0.0
AKTS,0.7028615568540675,-0.0002991084919381937,0.0
AKYA,0.7477458039719638,-0.0023233980634241435,0.0
AL,0.42249135861700865,0.00010803425561420103,2.04
ALB,0.3743354414157754,0.0004676920613806695,0.71
ALBO,0.7655506739075139,-0.0011693035165911431,0.0
ALC,0.29674731394893145,0.00017705426248614277,0.33
ALDX,0.8403516233697527,-1.553690178910914e-05,0.0
ALE,0.2773885380261899,5.54365364072745e-05,4.3
ALEC,0.8027451464295324,-0.0006846714377033299,0.0
ALEX,0.3875494033686512,-0.0001268942292430324,4.83
ALG,0.3764213536817267,0.00032628720002303733,0.5
ALGM,0.48795523958836245,0.0009675808768685563,0.0
ALGN,0.6063843550401815,0.0004579421254371367,0.0
ALGS,1.0219716079461998,-0.004948000462627239,0.0
ALGT,0.46218917541659016,0.00024653457268254746,0.0
ALHC,0.6591540835838059,-0.0008687199469715651,0.0
ALIT,0.4265878951868203,-0.0003527421380262512,0.0
ALK,0.43070170094094695,0.00025064663300049033,0.0
ALKS,0.6582054222648407,0.0001966106428433601,0.0
ALKT,0.5722832422706354,-0.002496221114781706,0.0
ALL,0.3064429797089553,0.00029839074085287963,3.11
ALLE,0.26421708890198087,0.000337813580785053,1.67
ALLG,1.1633352989039127,-0.002580860707052456,0.0
ALLK,1.342416691574813,-0.0011698568589358937,0.0
ALLO,0.7220451551294748,-0.00129935476480278,0.0
ALLT,0.4867854791077824,-0.00034259835094578106,0.0
ALLY,0.37859831543888306,-2.6790419803603863e-05,5.21
ALNY,0.5816825338000479,0.0007533423441594164,0.0
ALPN,0.8252391196068868,-0.0011028418434752276,0.0
ALPP,2.9082896776671783,-0.0017666021968101855,0.0
ALR,0.6850487939012854,-0.0009276161074132429,0.0
ALRM,0.41537089008362277,0.0005684139000119484,0.0
ALRS,0.37761326253030864,0.00031007790281810876,4.38
ALSN,0.2824836427779243,0.00021176449191236848,2.07
ALT,1.300537363989305,-0.0014844046924091694,0.0
ALTG,0.5048329757044977,0.00033082138758883594,1.45
ALTL,0.23593954801678382,0.0008189636127882642,1.36
ALTO,1.0237686912095865,-0.001309327920149091,0.0
ALTR,0.44187349692744643,0.0007002351540911305,0.0
ALTU,0.1784132873226993,-3.715399303469351e-05,0.0
ALTY,0.21732158019722203,-0.0001693441250200475,7.46
ALV,0.3452622181509504,0.00017022969009437985,2.87
ALVR,0.9421778181732483,-0.002621720803584727,0.0
ALXO,0.8531842897018307,-0.001581668841668131,0.0
ALZN,0.9832832217493224,-0.00813748522435866,0.0
AM,0.4854520494146432,-0.0004999457386832793,8.75
AMAL,0.43806802245920673,0.0003018729608115594,2.08
AMAM,2.152051037734647,-0.005210259265869375,0.0
AMAT,0.48009728840512034,0.0006448911298893082,1.06
AMBA,0.5791107095758423,0.0010139231917447936,0.0
AMBC,0.457326672403619,-5.6248798542338476e-05,0.0
AMBP,0.4633194549675519,-0.0022400653415202715,9.73
AMC,1.020112751954705,-0.0006752501584214027,0.0
AMCR,0.25009806128333995,0.00016304974447349193,4.5
AMCX,0.4122549040348391,-0.00028141237615000305,0.0
AMD,0.6183400102457798,0.0003312216095236522,0.0
AME,0.2895924583459242,0.000511883077451879,0.72
AMED,0.68692984022398,0.00038733167601128876,0.0
AMEH,2.2679440693400985,0.0003298035153508161,0.0
AMG,0.41978808077925767,0.00034725868486584093,0.03
AMGN,0.3402010756295921,0.0006615832614768145,3.7
AMH,0.22896543873787972,0.00027776559858250704,2.93
AMJ,0.2859075178169294,-2.012852932537324e-05,6.63
AMK,0.41082597406036314,-0.00018578997600904017,0.0
AMKR,0.6773421727273722,9.479972407221808e-05,1.19
AMLP,0.28422777248127357,-0.00021766720762854926,7.81
AMLX,1.151462990003206,0.0029077747167743652,3.26
AMN,0.44825075532769804,0.00029299425792175284,0.0
AMNB,0.3507860721510804,0.00016247351884637298,3.97
AMOT,0.8378552378229444,0.00036553751825517785,0.26
AMP,0.41744453259596204,0.0004892703420439341,1.68
AMPE,1.3037313307377298,-0.0016912143013129793,0.0
AMPH,0.42397718818654817,0.0005425943388701032,0.0
AMPL,1.076738842198662,-0.0047701545547027486,0.0
AMPS,0.5967890844003954,-0.0009845714856645427,0.0
AMPX,2.1664805265416915,-0.003134217283707754,0.0
AMPY,1.9325417699801566,-0.0010538709460397424,0.0
AMR,0.7330889097212457,0.004994341416625839,1.08
AMRC,0.500777580316461,0.000550929514381936,0.0
AMRK,0.44334312303125273,0.0007462695189916976,2.89
AMRN,1.0487470333540951,-0.0008283915194982746,0.0
AMRS,0.9510499815254295,-0.0016481344346415733,0.0
AMRX,0.7306400857288596,-0.0017240460899020998,0.0
AMSC,0.739267960162897,-0.00044009964941079944,0.0
AMSF,0.3502438799515499,0.0004071144822783248,2.65
AMSWA,0.5874517358250619,-2.593716277039742e-06,3.42
AMT,0.4669104552492571,0.0004000149217207964,3.12
AMTB,0.5697035548676326,-0.00010530185796933149,1.53
AMTI,1.0701114121931659,-0.005797470065601965,0.0
AMTX,1.4974886985338887,-0.0005525347756185551,0.0
AMV,2.5751691528833374,-0.048320479079412004,0.0
AMWD,0.6086514345453501,0.00033071022313363853,0.0
AMWL,0.7484382432061529,-0.0036428062053146786,0.0
AMX,0.3403570766614334,0.00028131020959863565,4.24
AMYT,0.45062174541130523,-0.0006908845916422064,0.0
AMZA,0.4717517551510053,-0.0009984863190611178,8.98
AMZN,0.5668607009272286,0.0010472018476784795,0.0
AN,0.4878518397486511,0.00042526738194531853,0.0
ANAB,0.8450551529718465,0.00040217764257051447,0.0
ANDE,0.41865480782024533,0.0002828381720486511,1.8
ANET,0.43660491699883525,0.0010091010637098378,0.0
ANF,0.5569846403919764,0.00010345028547148942,0.0
ANGI,0.6242173469334409,-0.0006915598250346282,0.0
ANGL,0.1020452478446382,2.6572607667930188e-05,4.79
ANGO,0.44434720234035335,2.6549530226236907e-06,0.0
ANIK,0.719241847153194,0.0002857731770475348,0.0
ANIP,0.8166974444646524,-0.00029301651460242827,0.0
ANIX,1.022754586790218,-0.0003605447223191347,0.0
ANNX,0.8134953065363542,-0.002009895842303139,0.0
ANPC,1.2207170259932387,-0.0051250990938882,0.0
ANSS,0.42281369562049914,0.0006587452935783744,0.0
ANTE,0.7871287541103296,-0.0015578733886824068,0.0
ANY,1.2685908004909152,-0.0028064559936690704,0.0
AON,0.28330809129311596,0.00038177601405098635,0.77
AORT,0.6550664027808855,0.00014731729037594093,0.0
AOS,0.3237378412180958,0.0005259412716988424,1.78
AOSL,0.5057782474184879,0.00015004466401670152,0.0
AOUT,0.5704574704608033,-0.0007344391962684962,0.0
AP,0.48250596967409104,-0.00018819147226892204,0.0
APA,0.4558203867633446,0.00021957312253148152,2.87
APAM,0.34294942414353247,-0.00010838904949550861,7.26
APD,0.27685151384209816,0.0003960971636367362,2.45
APDN,1.3876858940513277,-0.001691084951184177,0.0
APE,1.718438859942683,-0.015913953719898295,0.0
APEI,0.4968879366760855,-0.00028142436945264963,0.0
APEN,0.9624223434964535,-0.0011380917943773247,0.0
APG,0.372066430335583,0.0008792030347969978,0.0
APGN,0.959138043625026,-0.0058598838054225375,0.0
APH,0.35985140958833844,0.0007105665912183021,1.08
API,0.9856038702376567,-0.004041762938913834,0.0
APLE,0.37114514751280836,-6.855648927104924e-05,6.22
APLS,0.7204653387806885,0.0010088579223676932,0.0
APLT,0.9735300500986347,-0.0027457931298517217,0.0
APO,0.36327510646654626,0.0004238509011840396,2.68
APOG,0.49111305231586244,0.00021011511241022718,2.25
APP,0.7833041638590994,-0.0042204424105080586,0.0
APPF,0.45059697802355086,0.0010638570261132386,0.0
APPH,0.9716710501248922,-0.0044649776688410695,0.0
APPN,0.7281590910951002,0.0005491971080975786,0.0
APPS,1.1290113780452184,0.0004774719913090082,0.0
APRE,1.190180131348161,-0.005050259249738784,0.0
APRN,1.202900245968015,-0.003749613919477158,0.0
APT,0.7115330745984529,0.00026608774549251627,0.0
APTO,1.2969310514644328,-0.0010428076978561327,0.0
APTV,0.37438573555850346,0.0005900439678503017,0.0
APTX,1.0015090366049884,-0.0037224184446953625,0.0
APVO,1.0439510130673968,-0.002387273223147495,0.0
APYX,0.9555830849521559,-0.0010099554949305925,0.0
AQB,1.0354810686675386,-0.0023592513548447653,0.0
AQGX,0.28212011644180457,-0.0012962270104130344,23.09
AQMS,0.9503258489746367,-0.000778347426000009,0.0
AQN,0.26785632695388045,0.0001593218984553411,9.39
AQST,0.9409952114106445,-0.0025773048790141777,0.0
AQUA,0.52308454789699,0.0004930950361378072,0.0
AQWA,0.19112568282306272,-0.0002361163363832302,1.93
AR,0.6146125835191301,-0.00022298510383246572,0.0
ARAV,1.0275522922609992,-0.0022433196388880346,0.0
ARAY,0.5788857549943615,-0.0006525954153579026,0.0
ARBE,0.5445130319682132,-0.001908707448357136,0.0
ARBK,1.3225881167545424,-0.008566991179370369,0.0
ARC,0.5703542674813523,-0.00034303003734181885,6.25
ARCB,0.5153926923537635,0.00020865852655182514,0.52
ARCC,0.34494459761331325,4.502723872429351e-05,10.76
ARCE,0.5285698809357673,-0.000516599008113448,0.0
ARCH,0.5297556746715143,0.0005211721312302556,0.7
ARCO,0.45075912000610424,-0.00031565224953744147,1.87
ARCT,1.0038944647510266,-0.0004696694657281709,0.0
ARDS,0.9756558206030991,-0.0021753716803580114,0.0
ARDX,0.9467466024924381,-0.0007443298188527432,0.0
ARE,0.2994950416110473,0.0003006552839440473,3.83
AREC,2.0673541397671658,0.00020045615619834552,0.0
AREN,1.1663663683243248,0.00014468338677296725,0.0
ARES,0.3498118391103537,0.0005970650245040937,4.07
ARGO,0.36496310435430246,1.6581246583469886e-05,4.27
ARGT,0.2961160257602146,3.750616137143761e-05,2.24
ARGX,0.5177063496934184,0.001979924596655281,0.0
ARHS,0.7285080916318045,-0.0009385444855757847,0.0
ARI,0.3653928195787138,-0.00016225603475421974,13.81
ARIS,0.6429793829697535,2.5628256917864207e-05,3.77
ARKF,0.4345345543135462,-0.0003628176838407984,1.08
ARKG,0.38322747599820733,0.00016528729538018146,1.34
ARKK,0.37708947456073216,0.00020785660877353088,6.95
ARKO,0.49521919305088313,-0.00015417052264257426,1.42
ARKQ,0.27902201519976905,0.00034991548843660156,1.32
ARKW,0.3616312654388177,0.0003160365462733106,0.41
ARKX,0.2727137714324962,-0.001114517212446502,0.0
ARLO,0.8360838545709621,-0.0016576230549766014,0.0
ARLP,0.42629895717769506,0.0002487892598270286,14.96
ARMK,0.3634406901062618,0.0002631543458505913,1.28
ARMP,1.1871221515065595,-0.0017854927079445388,0.0
ARNC,0.6325926839858177,0.0016128381228343953,0.0
AROC,0.5924568048230194,-0.0005605219217813249,5.79
AROW,0.3615129612765715,0.00022410851698230084,4.02
ARQQ,1.1739722166212672,-0.0022178126869042136,0.0
ARQT,0.7725530678250362,-0.0005269152940683808,0.0
ARR,0.3109360599391651,-0.0006742904464288228,23.53
ARRY,0.9147373928595974,-0.0011407971045188277,0.0
ARTNA,0.2897572405121145,0.0003439175082276813,2.11
ARVL,0.9760308368382614,-0.00562691283120057,0.0
ARVN,0.7626539330596405,0.000705978703532351,0.0
ARVR,0.33489672909000034,-0.0010935468813132046,0.24
ARW,0.39668242170687124,0.00047972795506936945,0.0
ARWR,1.9093285019454582,-0.0005851022109579821,0.0
ASA,0.3477956997884149,-3.0889115851889166e-05,0.13
ASAI,0.4421884801368148,0.0008990515221143787,0.45
ASAN,0.9151827944791947,-0.0013013809782483853,0.0
ASAP,1.1467486192833938,-0.003944735487863783,0.0
ASB,0.3341643320231945,0.00017468993717733601,4.09
ASC,0.5151905588797145,2.7512743137081023e-05,10.92
ASEA,0.19025711724246286,-5.555787534404701e-06,2.33
ASGN,0.5300483264625669,0.0004924878257291136,0.0
ASH,0.3146712298756392,0.00023751503380220595,1.37
ASHR,0.30662862299688165,5.300691916571524e-05,1.09
ASHS,0.3353529016092278,8.709706120116554e-05,1.79
ASHX,0.24613456063884423,-6.299189364502466e-05,1.68
ASIX,0.5294499983409636,0.0005216559030221451,1.6
ASLE,0.4305278149791923,0.0005279247491763611,0.0
ASLN,1.3345247459402636,-0.002341178146937998,0.0
ASMB,0.8266329495311416,-0.001052368213286193,0.0
ASML,0.48921319358493764,0.0007939648032375323,1.22
ASND,0.492879852435789,0.0009366907264913108,0.0
ASO,0.5196683933207653,0.0024732654665841993,0.6
ASPN,0.6619305547347296,4.289175882028274e-05,0.0
ASPS,0.6903113361911511,8.925970303524725e-05,0.0
ASPU,0.8698265647275121,-0.0012034697169131109,0.0
ASPY,0.09542358356582818,0.00010556640344318287,0.93
ASR,0.349808321972638,0.0004876804494848722,2.67
ASRT,0.832782599388289,-0.00019800873756667948,0.0
ASRV,0.464052547252388,-1.1445304017447537e-05,3.29
ASTE,0.5290009203799309,0.0003416222476498455,1.26
ASTI,1.4101451753642589,-0.0193162340386152,0.0
ASTL,0.42599000090798933,-0.0009246800297510514,2.47
ASTR,0.9279430481898548,-0.0055644937669046685,0.0
ASTS,0.7641759859389126,-0.0008876162678791414,0.0
ASUR,0.8087908867499978,-0.00028272088762872094,0.0
ASX,0.4546467409362699,0.00010781328368822156,0.0
ASXC,1.2621785383169979,-0.0009627615551899819,0.0
ASYS,0.8051604987025389,-6.169510095730194e-06,0.0
ATAI,0.7905210822715916,-0.005140881018680495,0.0
ATCO,0.4629644266813785,-7.495849075370073e-05,3.23
ATCX,0.7010850820236131,-0.0006282242535821778,0.0
ATEC,0.7503531352776958,-0.0005065539153843669,0.0
ATEN,0.5176187514275158,1.1569409077971413e-05,1.65
ATER,1.2000232259394006,-0.0028615512074768013,0.0
ATEX,0.5061593003083362,-0.00010936002499050455,0.0
ATGE,0.4282286384613561,0.00042454129352196564,0.0
ATHA,1.0286513913737438,-0.0029320548028167557,0.0
ATHM,0.5425238700120637,7.666535573967483e-06,1.95
ATHX,1.0190378151486232,-0.0012896240285519523,0.0
ATI,0.5495992929852141,2.88629357711042e-05,0.0
ATIP,0.8863781458982333,-0.006177041720208434,0.0
ATKR,0.5265217049803996,0.0011862562109037436,0.0
ATLC,0.7578065516027134,0.00010068246447558894,0.0
ATLO,0.41652661803538626,5.36898923549456e-05,5.11
ATMP,0.3134220747821678,-0.00011467834441959896,5.83
ATNF,0.8948395684283699,-0.0029157263737217454,0.0
ATNI,0.4717636504128644,0.00020616112393515446,2.04
ATNM,0.869541239629406,-0.0005718661243784292,0.0
ATNX,0.8800143497346614,-0.003178997953630542,0.0
ATO,0.2285754078873352,0.00027041175034780545,2.64
ATOM,0.8267375275941475,-0.00015622077508379504,0.0
ATOS,1.2317960514698512,-0.0028971606326759075,0.0
ATR,0.270415787051499,0.00041676855117734176,1.32
ATRA,0.8696034001822245,-0.0005700466808631452,0.0
ATRC,0.554722612947138,0.0002620482986214671,0.0
ATRO,0.689282845869701,0.00043822707158585906,0.0
ATSG,0.6507614937640515,0.0007697962364968668,0.0
ATUS,0.5086371836790753,-0.0014102261184745326,0.0
ATVI,0.5201525378110025,0.0005990587403874629,0.59
ATXS,1.0601091712569826,-0.002091180163724486,0.0
ATY,0.7942459621706189,-0.0003976896435667749,0.0
AU,0.49339276740304855,-1.561682644594898e-05,1.84
AUB,0.45100149754389346,0.00022578375887261795,3.34
AUD,0.6205271634934789,-0.0008132169345798873,0.0
AUDC,0.6208906079546123,0.0001247272984703521,2.54
AULT,1.1896927580547842,-0.0015598872739213206,0.0
AUMN,0.8763153415876042,-0.00035029756709297404,0.0
AUPH,0.7976285529523456,3.670056312472921e-05,0.0
AUR,0.8860086854332516,-0.00508907157074452,0.0
AUTL,0.8491539564035928,-0.0022625302469219954,0.0
AUY,0.9369397791350274,8.894818282100869e-05,2.16
AVA,0.29656168556726464,0.00012739287875112998,4.45
AVAH,0.7161513815688899,-0.006461862992355278,0.0
AVAV,0.45930459539093155,0.00031770132044488746,0.0
AVB,0.2860922163014853,0.0002821007486170209,3.88
AVD,0.5946864241974629,0.0004091803437423095,0.57
AVDE,0.22627646452945166,7.755378255184903e-05,2.68
AVDL,0.8839115136657674,-7.407556167620335e-05,0.0
AVDV,0.23271955048336498,0.00013319244886967366,3.05
AVDX,0.7306880057507189,-0.003006228703307405,0.0
AVEM,0.23454991584899174,1.9523031118573856e-05,2.73
AVGO,0.3547911654513213,0.001049972164344521,2.91
AVID,0.6041670282188956,1.7145246410655705e-06,0.0
AVIR,1.06090581907896,-0.0033793943242717913,0.0
AVLV,0.2195176235435997,-7.018636231071716e-05,2.4
AVNS,0.39626445002056276,-0.00020141321555876033,0.0
AVNT,0.5088508801687582,0.0001772837507167947,2.48
AVNW,0.7944802238870707,-0.00012492888060981636,0.0
AVO,0.3696758808501957,-0.0001221112672840677,0.0
AVPT,0.480562082008505,-0.0010918342515740147,0.0
AVRE,0.20499852230682308,-0.0005989362834495512,3.97
AVRO,0.9005270835190643,-0.0033183407530153284,0.0
AVT,0.36428332528438945,0.00011581354121818851,2.69
AVTR,0.44795774438797364,0.0004103508787505355,0.0
AVTX,1.0624620883929825,-0.0015084266256471144,0.0
AVUS,0.25448501658553396,0.00037079785697520675,1.58
AVUV,0.3426152571551368,0.00048038748586539905,1.75
AVXL,0.9044168963912301,3.539751493115106e-05,0.0
AVY,0.28995472183573406,0.00028945938732053355,1.72
AVYA,1.028076459053115,-0.003499183388226981,0.0
AWAY,0.39991911780182343,-0.0005612700533962917,0.06
AWH,1.656355014523671,-0.0012481772673209677,0.0
AWI,0.38533105329646167,0.00013223816674987643,1.46
AWK,0.2344973654313618,0.0005410513008681461,1.9
AWR,0.29053147138526625,0.0003480416823393296,1.83
AWRE,0.6681555004354881,-0.0003243639455009927,0.0
AWYX,0.699853510880295,-0.0037926341983954507,0.0
AX,0.429763088453345,0.000577523726897693,0.0
AXAS,0.8555970963551456,-0.0006103003479926337,0.0
AXDX,0.9862183350769137,0.0002798387387647225,0.0
AXGN,1.2630340959662607,0.00012757509170408123,0.0
AXL,0.7247257136285875,-0.00012403252564746479,0.0
AXLA,1.2600228885068434,-0.004068999182764802,0.0
AXNX,0.5945282315916907,0.001363483277220017,0.0
AXON,0.6122960287613552,0.0010867653635830074,0.0
AXP,0.35219183894526257,0.0003368473418409417,1.46
