,Sigma,Mu,Div
A,0.4196164127610695,0.00026807981483150116,0.65
AA,0.4255945190393874,8.347239638696237e-05,0.9
AAC,0.040861587851109875,4.4979449718527924e-05,0.0
AADI,1.010960156222107,-0.0013542752244677532,0.0
AAIC,0.7228862907773064,-0.0007848085631965287,0.0
AAL,0.6671551256079392,-9.595615131772002e-05,0.0
AAN,0.5897974291297049,-0.0015112210067850724,4.76
AAOI,0.7153516369415475,-0.0007126930762966617,0.0
AAON,0.48755008733139577,0.0008759687535291976,0.55
AAP,0.33076853001364487,0.00044464726374594484,4.93
AAPB,0.6398171885670529,-0.005342481311332049,0.0
AAPD,0.37511884718151495,0.0021794865654608375,0.61
AAPL,0.4418604842801025,0.0007178065397715756,0.6
AAPU,0.553364137633082,-0.004052648832775043,0.64
AAT,0.2853254346983524,7.33270799142322e-05,6.96
AAU,0.7349253957110636,-0.00044696602657143676,0.0
AAWW,0.49861191861380116,0.0002733312891579735,0.0
AAXJ,0.2585503308317948,7.088467311694964e-05,1.53
AB,0.35822025746996083,0.00026349959191870073,8.26
ABB,0.42002088957315925,0.00010851549444286648,2.79
ABBV,0.27436034782751667,0.0006064423086148747,3.85
ABC,0.32779554790671356,0.0005765748577605576,1.3
ABCB,0.44644929958384677,0.000304104990993073,1.63
ABCL,0.7658014659601001,-0.0034115112151278794,0.0
ABCM,0.39304236904958245,-0.0004327585220131244,0.0
ABEO,1.156170464284929,-0.0013865083204166327,0.0
ABEV,0.36829204945230687,0.0002767907097746299,5.64
ABG,0.5238202796626775,0.000467263155311273,0.0
ABIO,1.049871205896022,-0.001965135030976936,0.0
ABM,0.31042121945449297,0.0002840492999872128,1.97
ABNB,0.5753653002310009,-0.0010178247779545596,0.0
ABOS,0.9677143457118712,-0.003477039319610478,0.0
ABR,0.5310059546812478,-9.350423054037088e-05,13.2
ABSI,0.9928592788848495,-0.0064019037150492555,0.0
ABST,0.40556119086312253,0.0003818098542023015,3.04
ABT,0.2546450339769076,0.0004018812961579452,2.07
