,Loss,S1,S2,S2_Call,S1_Call,S2_Put,S1_Put,Date,Symbol
8,-4469.0,150.0,172.5,0.005,-14.7,-7.5,0.005,2023-04-06,AAPL
160,-4044.0,155.0,175.0,0.005,-10.024999999999999,-10.425,0.005,2023-04-21,AAPL
94,-4044.0,155.0,175.0,0.005,-10.024999999999999,-10.425,0.005,2023-04-14,AAPL
28,-4044.0,155.0,175.0,0.005,-10.024999999999999,-10.425,0.005,2023-04-06,AAPL
226,-4044.0,155.0,175.0,0.005,-10.024999999999999,-10.425,0.005,2023-04-28,AAPL
205,-4039.0,150.0,170.0,0.005,-14.7,-5.7,0.005,2023-04-28,AAPL
73,-4039.0,150.0,170.0,0.005,-14.7,-5.7,0.005,2023-04-14,AAPL
7,-4039.0,150.0,170.0,0.005,-14.7,-5.7,0.005,2023-04-06,AAPL
139,-4039.0,150.0,170.0,0.005,-14.7,-5.7,0.005,2023-04-21,AAPL
37,-4006.5,157.5,177.5,0.005,-7.475,-12.6,0.005,2023-04-06,AAPL
169,-4006.5,157.5,177.5,0.005,-7.475,-12.6,0.005,2023-04-21,AAPL
103,-4006.5,157.5,177.5,0.005,-7.475,-12.6,0.005,2023-04-14,AAPL
235,-4006.5,157.5,177.5,0.005,-7.475,-12.6,0.005,2023-04-28,AAPL
216,-3966.5000000000005,152.5,172.5,0.005,-12.175,-7.5,0.005,2023-04-28,AAPL
18,-3966.5000000000005,152.5,172.5,0.005,-12.175,-7.5,0.005,2023-04-06,AAPL
84,-3966.5000000000005,152.5,172.5,0.005,-12.175,-7.5,0.005,2023-04-14,AAPL
150,-3966.5000000000005,152.5,172.5,0.005,-12.175,-7.5,0.005,2023-04-21,AAPL
138,-3565.9999999999995,150.0,167.5,0.005,-14.7,-3.4699999999999998,0.005,2023-04-21,AAPL
6,-3565.9999999999995,150.0,167.5,0.005,-14.7,-3.4699999999999998,0.005,2023-04-06,AAPL
72,-3565.9999999999995,150.0,167.5,0.005,-14.7,-3.4699999999999998,0.005,2023-04-14,AAPL
204,-3565.9999999999995,150.0,167.5,0.005,-14.7,-3.4699999999999998,0.005,2023-04-28,AAPL
